phage,host
busby_phage_396,unassigned
deboutte_phage_125,unassigned
deboutte_phage_154,unassigned
deboutte_phage_86,unassigned
rosso_phage_29,unassigned
total_phage_2,unassigned
virome_phage_39,unassigned
busby_phage_422,unassigned
busby_phage_423,unassigned
busby_phage_464,unassigned
virome_phage_2366,Gilliamella
virome_phage_2380,Gilliamella
virome_phage_2914,Serratia
virome_phage_902,Gilliamella
busby_phage_424,unassigned
busby_phage_356,unassigned
busby_phage_374,unassigned
busby_phage_425,unassigned
deboutte_phage_398,unassigned
rosso_phage_180,unassigned
rosso_phage_9,unassigned
total_phage_500,unassigned
virome_phage_10,Lactobacillus
virome_phage_2238,unassigned
virome_phage_2254,unassigned
virome_phage_739,Lactobacillus
busby_phage_353,unassigned
busby_phage_426,unassigned
total_phage_106,unassigned
deboutte_phage_519,unassigned
deboutte_phage_467,unassigned
busby_phage_212,unassigned
busby_phage_186,unassigned
busby_phage_242,unassigned
busby_phage_257,unassigned
busby_phage_299,unassigned
busby_phage_347,unassigned
busby_phage_468,Lactobacillus
busby_phage_469,unassigned
deboutte_phage_133,unassigned
deboutte_phage_480,unassigned
rosso_phage_182,unassigned
total_phage_188,Lactobacillus
total_phage_415,Lactobacillus
total_phage_416,Lactobacillus
total_phage_692,Lactobacillus
total_phage_737,Lactobacillus
total_phage_800,Lactobacillus
busby_phage_428,unassigned
total_phage_664,Schmidhempelia
deboutte_phage_421,unassigned
rosso_phage_24,unassigned
total_phage_242,unassigned
total_phage_733,unassigned
total_phage_794,unassigned
busby_phage_28,unassigned
busby_phage_285,Bifidobacterium
busby_phage_403,unassigned
deboutte_phage_136,Bifidobacterium
deboutte_phage_151,Bifidobacterium
deboutte_phage_505,Bifidobacterium
rosso_phage_58,Bifidobacterium
rosso_phage_60,Bifidobacterium
rosso_phage_69,Bifidobacterium
virome_phage_110,Bifidobacterium
virome_phage_23,Bifidobacterium
virome_phage_2328,Bifidobacterium
virome_phage_2330,Bifidobacterium
busby_phage_429,unassigned
deboutte_phage_397,Lactobacillus
deboutte_phage_74,unassigned
deboutte_phage_98,unassigned
rosso_phage_197,unassigned
rosso_phage_41,Lactobacillus
rosso_phage_42,Lactobacillus
rosso_phage_43,Lactobacillus
rosso_phage_44,Lactobacillus
rosso_phage_45,Lactobacillus
rosso_phage_47,Lactobacillus
rosso_phage_48,Lactobacillus
rosso_phage_50,Lactobacillus
total_phage_18,Lactobacillus
total_phage_254,Lactobacillus
virome_phage_1004,Lactobacillus
virome_phage_1006,Lactobacillus
virome_phage_1033,Lactobacillus
virome_phage_181,Lactobacillus
virome_phage_183,Lactobacillus
virome_phage_189,Lactobacillus
virome_phage_191,Lactobacillus
virome_phage_2260,Lactobacillus
virome_phage_2522,Lactobacillus
virome_phage_993,Lactobacillus
deboutte_phage_413,unassigned
deboutte_phage_71,unassigned
busby_phage_163,unassigned
busby_phage_89,unassigned
deboutte_phage_402,unassigned
deboutte_phage_92,unassigned
rosso_phage_22,unassigned
rosso_phage_25,unassigned
total_phage_1,unassigned
total_phage_113,unassigned
total_phage_795,unassigned
virome_phage_798,unassigned
rosso_phage_173,unassigned
rosso_phage_59,unassigned
rosso_phage_63,Bifidobacterium
rosso_phage_71,Bifidobacterium
virome_phage_193,Bifidobacterium
busby_phage_443,unassigned
deboutte_phage_137,Bifidobacterium
deboutte_phage_469,Bifidobacterium
rosso_phage_193,unassigned
rosso_phage_5,Bifidobacterium
rosso_phage_6,Bifidobacterium
rosso_phage_61,Bifidobacterium
rosso_phage_62,unassigned
rosso_phage_64,Bifidobacterium
rosso_phage_65,Bifidobacterium
rosso_phage_66,unassigned
rosso_phage_67,unassigned
rosso_phage_68,Bifidobacterium
rosso_phage_70,unassigned
virome_phage_104,Bifidobacterium
virome_phage_196,Bifidobacterium
virome_phage_862,Bifidobacterium
virome_phage_900,Bifidobacterium
virome_phage_97,Bifidobacterium
busby_phage_230,unassigned
deboutte_phage_434,unassigned
rosso_phage_75,unassigned
total_phage_233,Gilliamella
