pos_module,pos_cluster,sig,id_module,size_module,pos_module,proteins,annotated_proteins,id_cluster,size_cluster,pos_cluster
20,18,28.46295665720605,MD_0020,31,20,899.0,1054.0,CC_018,34,18
113,249,1.198241374774267,MD_0113,8,113,51.0,57.0,CC_249,2,249
134,125,1.198241374774267,MD_0134,7,134,20.0,25.0,CC_125,2,125
136,18,43.64008436804201,MD_0136,6,136,147.0,178.0,CC_018,34,18
136,96,1.444981534620526,MD_0136,6,136,147.0,178.0,CC_096,5,96
138,27,37.595160309416194,MD_0138,6,138,191.0,212.0,CC_027,21,27
178,17,5.234992557248995,MD_0178,4,178,122.0,151.0,CC_017,6,17
178,38,17.37565611480085,MD_0178,4,178,122.0,151.0,CC_038,20,38
189,181,6.636574040822311,MD_0189,4,189,27.0,28.0,CC_181,4,181
190,26,11.315168254942591,MD_0190,4,190,94.0,100.0,CC_026,11,26
190,33,7.4790307701086425,MD_0190,4,190,94.0,100.0,CC_033,14,33
192,65,2.678966753761711,MD_0192,4,192,31.0,37.0,CC_065,6,65
198,109,1.300014250648827,MD_0198,4,198,43.0,50.0,CC_109,4,109
199,33,4.151755579177007,MD_0199,4,199,24.0,24.0,CC_033,14,33
199,246,1.6306474576636356,MD_0199,4,199,24.0,24.0,CC_246,4,246
202,181,6.636574040822311,MD_0202,4,202,16.0,16.0,CC_181,4,181
212,181,6.636574040822311,MD_0212,4,212,17.0,17.0,CC_181,4,181
220,51,3.979996749425694,MD_0220,4,220,13.0,13.0,CC_051,3,51
222,170,2.678966753761711,MD_0222,4,222,13.0,13.0,CC_170,6,170
226,170,2.678966753761711,MD_0226,4,226,12.0,12.0,CC_170,6,170
242,153,15.489175272276434,MD_0242,3,242,30.0,34.0,CC_153,9,153
269,65,2.678966753761711,MD_0269,3,269,10.0,10.0,CC_065,6,65
278,65,5.46048278176663,MD_0278,3,278,12.0,12.0,CC_065,6,65
284,18,9.599159889696555,MD_0284,2,284,67.0,89.0,CC_018,34,18
284,38,3.030490031701798,MD_0284,2,284,67.0,89.0,CC_038,20,38
284,41,1.4055593618622373,MD_0284,2,284,67.0,89.0,CC_041,10,41
285,13,3.191702096156452,MD_0285,2,285,68.0,91.0,CC_013,32,13
285,18,25.15100227723948,MD_0285,2,285,68.0,91.0,CC_018,34,18
285,41,9.540288980588631,MD_0285,2,285,68.0,91.0,CC_041,10,41
286,7,11.837328000921172,MD_0286,2,286,23.0,27.0,CC_007,10,7
287,38,10.752762666456583,MD_0287,2,287,39.0,46.0,CC_038,20,38
288,18,8.211504276988446,MD_0288,2,288,33.0,35.0,CC_018,34,18
288,170,3.0481157513205686,MD_0288,2,288,33.0,35.0,CC_170,6,170
289,38,1.1118253131992475,MD_0289,2,289,18.0,20.0,CC_038,20,38
290,13,1.9497513482422217,MD_0290,2,290,52.0,59.0,CC_013,32,13
290,79,1.204045678436814,MD_0290,2,290,52.0,59.0,CC_079,4,79
290,109,1.204045678436814,MD_0290,2,290,52.0,59.0,CC_109,4,109
295,38,5.734906041397697,MD_0295,2,295,35.0,44.0,CC_038,20,38
296,38,1.3835726037084024,MD_0296,2,296,30.0,34.0,CC_038,20,38
296,65,1.0326755114935082,MD_0296,2,296,30.0,34.0,CC_065,6,65
297,199,3.140566567742522,MD_0297,2,297,10.0,11.0,CC_199,6,199
297,201,1.9008155033782428,MD_0297,2,297,10.0,11.0,CC_201,3,201
298,138,4.327732923721968,MD_0298,2,298,40.0,49.0,CC_138,11,138
300,22,4.0916526935666235,MD_0300,2,300,15.0,20.0,CC_022,16,22
301,230,13.836389767183402,MD_0301,2,301,10.0,14.0,CC_230,9,230
302,234,6.099967050096635,MD_0302,2,302,28.0,37.0,CC_234,6,234
302,235,19.966087191748844,MD_0302,2,302,28.0,37.0,CC_235,13,235
303,132,10.83091074352496,MD_0303,2,303,10.0,10.0,CC_132,7,132
304,7,1.628971533054095,MD_0304,2,304,12.0,12.0,CC_007,10,7
304,132,2.402509631605451,MD_0304,2,304,12.0,12.0,CC_132,7,132
305,108,3.2599970837658097,MD_0305,2,305,17.0,17.0,CC_108,4,108
307,132,7.59783470408403,MD_0307,2,307,13.0,13.0,CC_132,7,132
308,57,5.092505996472222,MD_0308,2,308,7.0,8.0,CC_057,4,57
309,104,1.6306474576636356,MD_0309,2,309,8.0,8.0,CC_104,4,104
311,79,1.8345875461584829,MD_0311,2,311,7.0,7.0,CC_079,4,79
311,181,5.092505996472222,MD_0311,2,311,7.0,7.0,CC_181,4,181
312,65,6.017449852985288,MD_0312,2,312,10.0,11.0,CC_065,6,65
312,181,4.314354746088578,MD_0312,2,312,10.0,11.0,CC_181,4,181
313,1,4.977858638974744,MD_0313,2,313,12.0,12.0,CC_001,7,1
316,7,6.125040768226477,MD_0316,2,316,13.0,16.0,CC_007,10,7
317,34,5.231775433911701,MD_0317,2,317,23.0,23.0,CC_034,8,34
317,65,1.520607463826094,MD_0317,2,317,23.0,23.0,CC_065,6,65
317,166,3.8944885442863457,MD_0317,2,317,23.0,23.0,CC_166,6,166
319,79,6.636574040822311,MD_0319,2,319,8.0,8.0,CC_079,4,79
320,33,25.061172815692515,MD_0320,2,320,20.0,21.0,CC_033,14,33
323,65,5.520525778964964,MD_0323,2,323,12.0,12.0,CC_065,6,65
324,106,16.714937319441056,MD_0324,2,324,17.0,22.0,CC_106,10,106
326,26,3.2407132247761874,MD_0326,2,326,14.0,19.0,CC_026,11,26
327,7,3.50215015516143,MD_0327,2,327,14.0,19.0,CC_007,10,7
328,108,4.314354746088578,MD_0328,2,328,10.0,10.0,CC_108,4,108
329,106,1.3254521806082495,MD_0329,2,329,14.0,14.0,CC_106,10,106
329,173,9.344995504795612,MD_0329,2,329,14.0,14.0,CC_173,24,173
333,55,3.7822679990217347,MD_0333,2,333,13.0,13.0,CC_055,4,55
334,1,2.0978352985690707,MD_0334,2,334,14.0,15.0,CC_001,7,1
335,7,2.773741926428353,MD_0335,2,335,13.0,14.0,CC_007,10,7
337,34,5.701425385142307,MD_0337,2,337,8.0,10.0,CC_034,8,34
339,13,6.015994135092728,MD_0339,2,339,9.0,10.0,CC_013,32,13
340,7,2.773741926428353,MD_0340,2,340,10.0,10.0,CC_007,10,7
343,186,2.378296025580429,MD_0343,2,343,5.0,9.0,CC_186,4,186
345,125,1.198241374774267,MD_0345,2,345,4.0,6.0,CC_125,2,125
346,195,1.9008155033782428,MD_0346,2,346,10.0,10.0,CC_195,3,195
347,83,4.3143547460883935,MD_0347,2,347,6.0,6.0,CC_083,10,83
348,79,4.11806010094432,MD_0348,2,348,11.0,11.0,CC_079,4,79
351,93,2.231808722419127,MD_0351,2,351,8.0,8.0,CC_093,3,93
351,108,4.791476000808166,MD_0351,2,351,8.0,8.0,CC_108,4,108
353,13,4.282386683780179,MD_0353,2,353,8.0,8.0,CC_013,32,13
354,170,6.670262169088773,MD_0354,2,354,8.0,8.0,CC_170,6,170
355,93,2.231808722419127,MD_0355,2,355,8.0,8.0,CC_093,3,93
355,213,2.231808722419127,MD_0355,2,355,8.0,8.0,CC_213,3,213
356,201,1.9008155033782428,MD_0356,2,356,10.0,10.0,CC_201,3,201
357,9,2.231808722419127,MD_0357,2,357,8.0,8.0,CC_009,3,9
358,145,2.6789667537618893,MD_0358,2,358,6.0,6.0,CC_145,3,145
358,181,2.077445775168311,MD_0358,2,358,6.0,6.0,CC_181,4,181
359,33,1.7987274860832798,MD_0359,2,359,8.0,8.0,CC_033,14,33
361,13,2.1600874169923765,MD_0361,2,361,8.0,8.0,CC_013,32,13
362,225,4.791476000808166,MD_0362,2,362,8.0,9.0,CC_225,4,225
363,65,3.917565546405547,MD_0363,2,363,7.0,8.0,CC_065,6,65
365,55,4.791476000808166,MD_0365,2,365,8.0,8.0,CC_055,4,55
368,79,5.460482781767031,MD_0368,2,368,6.0,8.0,CC_079,4,79
369,166,3.917565546405547,MD_0369,2,369,7.0,7.0,CC_166,6,166
