id,size,pos,proteins,annotated_proteins
MD_0000,174,0,1803.0,2098.0
MD_0001,108,1,1372.0,1612.0
MD_0002,86,2,418.0,457.0
MD_0003,83,3,371.0,392.0
MD_0004,64,4,1061.0,1167.0
MD_0005,62,5,850.0,911.0
MD_0006,60,6,341.0,385.0
MD_0007,52,7,611.0,667.0
MD_0008,48,8,217.0,231.0
MD_0009,42,9,321.0,346.0
MD_0010,39,10,624.0,707.0
MD_0011,39,11,161.0,177.0
MD_0012,39,12,200.0,226.0
MD_0013,38,13,286.0,360.0
MD_0014,35,14,309.0,358.0
MD_0015,35,15,126.0,132.0
MD_0016,34,16,146.0,161.0
MD_0017,33,17,146.0,150.0
MD_0018,32,18,243.0,270.0
MD_0019,32,19,372.0,403.0
MD_0020,31,20,899.0,1054.0
MD_0021,31,21,138.0,158.0
MD_0022,29,22,358.0,422.0
MD_0023,28,23,244.0,276.0
MD_0024,28,24,510.0,533.0
MD_0025,27,25,168.0,187.0
MD_0026,27,26,202.0,221.0
MD_0027,26,27,212.0,231.0
MD_0028,25,28,368.0,423.0
MD_0029,25,29,186.0,197.0
MD_0030,24,30,354.0,367.0
MD_0031,23,31,230.0,256.0
MD_0032,23,32,130.0,137.0
MD_0033,23,33,171.0,191.0
MD_0034,23,34,158.0,183.0
MD_0035,22,35,281.0,315.0
MD_0036,22,36,321.0,361.0
MD_0037,22,37,369.0,388.0
MD_0038,21,38,205.0,212.0
MD_0039,21,39,69.0,71.0
MD_0040,21,40,382.0,417.0
MD_0041,20,41,210.0,245.0
MD_0042,20,42,136.0,147.0
MD_0043,20,43,115.0,126.0
MD_0044,20,44,364.0,397.0
MD_0045,20,45,112.0,118.0
MD_0046,19,46,76.0,77.0
MD_0047,18,47,143.0,168.0
MD_0048,18,48,133.0,140.0
MD_0049,18,49,99.0,111.0
MD_0050,17,50,301.0,372.0
MD_0051,17,51,239.0,259.0
MD_0052,17,52,118.0,129.0
MD_0053,17,53,77.0,93.0
MD_0054,17,54,113.0,116.0
MD_0055,16,55,245.0,277.0
MD_0056,16,56,92.0,98.0
MD_0057,16,57,103.0,112.0
MD_0058,16,58,146.0,147.0
MD_0059,15,59,125.0,135.0
MD_0060,15,60,145.0,154.0
MD_0061,15,61,99.0,105.0
MD_0062,15,62,95.0,100.0
MD_0063,15,63,61.0,66.0
MD_0064,15,64,59.0,59.0
MD_0065,14,65,144.0,170.0
MD_0066,14,66,62.0,72.0
MD_0067,14,67,143.0,161.0
MD_0068,14,68,66.0,74.0
MD_0069,14,69,52.0,56.0
MD_0070,14,70,68.0,72.0
MD_0071,13,71,126.0,129.0
MD_0072,13,72,116.0,130.0
MD_0073,13,73,99.0,104.0
MD_0074,13,74,142.0,160.0
MD_0075,13,75,47.0,56.0
MD_0076,13,76,99.0,111.0
MD_0077,13,77,115.0,121.0
MD_0078,12,78,188.0,215.0
MD_0079,12,79,90.0,104.0
MD_0080,12,80,76.0,83.0
MD_0081,12,81,95.0,98.0
MD_0082,12,82,69.0,71.0
MD_0083,11,83,68.0,76.0
MD_0084,11,84,148.0,170.0
MD_0085,11,85,126.0,140.0
MD_0086,11,86,74.0,83.0
MD_0087,11,87,93.0,110.0
MD_0088,11,88,44.0,46.0
MD_0089,11,89,90.0,109.0
MD_0090,11,90,45.0,46.0
MD_0091,11,91,35.0,36.0
MD_0092,10,92,200.0,223.0
MD_0093,10,93,165.0,206.0
MD_0094,10,94,132.0,137.0
MD_0095,10,95,174.0,194.0
MD_0096,10,96,47.0,50.0
MD_0097,9,97,106.0,115.0
MD_0098,9,98,120.0,140.0
MD_0099,9,99,132.0,141.0
MD_0100,9,100,67.0,70.0
MD_0101,9,101,43.0,44.0
MD_0102,9,102,31.0,34.0
MD_0103,9,103,41.0,42.0
MD_0104,9,104,77.0,81.0
MD_0105,9,105,48.0,57.0
MD_0106,9,106,46.0,48.0
MD_0107,9,107,59.0,67.0
MD_0108,9,108,33.0,33.0
MD_0109,8,109,132.0,162.0
MD_0110,8,110,87.0,113.0
MD_0111,8,111,31.0,34.0
MD_0112,8,112,51.0,64.0
MD_0113,8,113,51.0,57.0
MD_0114,8,114,87.0,90.0
MD_0115,8,115,97.0,107.0
MD_0116,8,116,35.0,36.0
MD_0117,8,117,36.0,36.0
MD_0118,8,118,35.0,35.0
MD_0119,8,119,31.0,32.0
MD_0120,8,120,27.0,27.0
MD_0121,8,121,24.0,24.0
MD_0122,8,122,21.0,25.0
MD_0123,7,123,127.0,148.0
MD_0124,7,124,123.0,131.0
MD_0125,7,125,70.0,82.0
MD_0126,7,126,83.0,127.0
MD_0127,7,127,81.0,89.0
MD_0128,7,128,58.0,65.0
MD_0129,7,129,29.0,34.0
MD_0130,7,130,41.0,44.0
MD_0131,7,131,31.0,32.0
MD_0132,7,132,47.0,51.0
MD_0133,7,133,45.0,45.0
MD_0134,7,134,20.0,25.0
MD_0135,7,135,24.0,25.0
MD_0136,6,136,147.0,178.0
MD_0137,6,137,75.0,82.0
MD_0138,6,138,191.0,212.0
MD_0139,6,139,31.0,34.0
MD_0140,6,140,22.0,28.0
MD_0141,6,141,50.0,55.0
MD_0142,6,142,48.0,52.0
MD_0143,6,143,38.0,41.0
MD_0144,6,144,46.0,53.0
MD_0145,6,145,34.0,38.0
MD_0146,6,146,27.0,29.0
