"","Sample","Tube_label","Hive_ID","Type","Bee","Collection_date","DNA_extraction_date","Seq_lab","DNA_concentration_qubit","raw_read_count","filtered_read_count","clean_names","density","shannon","n_phage"
"1","A_MEL_10",10,"Apis_40","Total","Honey bee","1/30/23","1/31/23","10_A_MEL","129",17529827,11404553,"HB1_Total_3",367.730715320451,2.55721115944483,88
"2","A_MEL_12",12,"Apis_37","Virome","Honey bee","2/6/23","2/7/23","12_A_MEL","1.03",17472771,16797020,"HB2_Virome",9801.66516487448,4.97960754946095,1093
"3","A_MEL_13",13,"Apis_37","Total","Honey bee","2/6/23","2/7/23","13_A_MEL","67",16250445,9874008,"HB2_Total_1",171.416715137359,3.48597012417682,52
"4","A_MEL_14",14,"Apis_37","Total","Honey bee","2/6/23","2/7/23","14_A_MEL","39",12737365,5532503,"HB2_Total_2",105.173849973511,3.06787904544741,30
"5","A_MEL_15",15,"Apis_37","Total","Honey bee","2/6/23","2/7/23","15_A_MEL","103",19499815,11102171,"HB2_Total_3",209.534660869482,3.75315928071915,64
"6","A_MEL_17",17,"Bee_haven","Virome","Honey bee","2/13/23","2/14/23","17_A_MEL","0.185",16401909,15213673,"HB3_Virome",6096.32292431288,5.79772916005914,1649
"7","A_MEL_18",18,"Bee_haven","Total","Honey bee","2/13/23","2/14/23","18_A_MEL","66",21155204,9081205,"HB3_Total_1",139.387506613935,3.9600864860378,65
"8","A_MEL_19",19,"Bee_haven","Total","Honey bee","2/13/23","2/14/23","19_A_MEL","66",16094480,6829327,"HB3_Total_2",177.25369592055,3.41297173634683,51
"9","A_MEL_20",20,"Bee_haven","Total","Honey bee","2/13/23","2/14/23","20_A_MEL","38",18236842,6041639,"HB3_Total_3",107.952220663962,3.20269537826409,31
"10","A_MEL_7",7,"Apis_40","Virome","Honey bee","1/30/23","1/31/23","7_A_MEL","0.77",16140050,14682731,"HB1_Virome",8744.8877270584,5.0747469716349,923
"11","A_MEL_8",8,"Apis_40","Total","Honey bee","1/30/23","1/31/23","8_A_MEL","98",14994146,7224162,"HB1_Total_1",186.733554272454,3.40814677207118,51
"12","A_MEL_9",9,"Apis_40","Total","Honey bee","1/30/23","1/31/23","9_A_MEL","91",18460856,10084439,"HB1_Total_2",262.230861944824,4.56793488037049,125
"13","B_IMP_1",1,"Bombus_1","Virome","Bumble bee","11/10/22","11/11/22","1_B_IMP","3.62",16290191,8626280,"BB1_Virome",31.9010048363837,0,1
"14","B_IMP_22",22,"Bombus_2","Virome","Bumble bee","2/28/23","3/1/23","22_B_IMP","0.693",21240379,4087937,"BB2_Virome",167.264484090631,1.18041521805618,13
"15","B_IMP_24",24,"Bombus_2","Total","Bumble bee","2/28/23","3/1/23","24_B_IMP","97",17671315,5155005,"BB2_Total_1",31.3548430505887,2.93550329963169,20
"16","B_IMP_25",25,"Bombus_2","Total","Bumble bee","2/28/23","3/1/23","25_B_IMP","211",16479347,5201880,"BB2_Total_2",59.138292348151,2.88516506453645,20
"17","B_IMP_26",26,"Bombus_2","Total","Bumble bee","2/28/23","3/1/23","26_B_IMP","215",19001887,6150596,"BB2_Total_3",103.752022519444,2.96718228138692,23
"18","B_IMP_28",28,"Bombus_3","Virome","Bumble bee","3/6/23","3/7/23","28_B_IMP","0.176",18966607,3745788,"BB3_Virome",368.69428187073,1.58791742222447,14
"19","B_IMP_3",3,"Bombus_1","Total","Bumble bee","11/10/22","11/11/22","3_B_IMP","34",18012355,6077829,"BB1_Total_1",67.5141305719526,3.35737340531478,32
"20","B_IMP_30",30,"Bombus_3","Total","Bumble bee","3/6/23","3/7/23","30_B_IMP","71",13463789,5938733,"BB3_Total_1",41.0911588212503,2.98718330818776,22
"21","B_IMP_31",31,"Bombus_3","Total","Bumble bee","3/6/23","3/7/23","31_B_IMP","79",13144607,5000886,"BB3_Total_2",24.156327578753,2.5030628898638,13
"22","B_IMP_32",32,"Bombus_3","Total","Bumble bee","3/6/23","3/7/23","32_B_IMP","158",12746455,5234026,"BB3_Total_3",35.7571957800745,2.77384894119997,18
"23","B_IMP_4",4,"Bombus_1","Total","Bumble bee","11/10/22","11/11/22","4_B_IMP","80",20396344,7740955,"BB1_Total_2",81.5592607372088,3.42938899031338,36
"24","B_IMP_5",5,"Bombus_1","Total","Bumble bee","11/10/22","11/11/22","5_B_IMP","93",17111892,6143529,"BB1_Total_3",63.7367368820103,2.6177724313175,17
