"","Phage","Host","Family"
"1","busby_phage_396","",""
"2","deboutte_phage_125","",""
"3","deboutte_phage_154","",""
"4","deboutte_phage_86","",""
"5","rosso_phage_29","",""
"6","total_phage_2","",""
"7","virome_phage_39","",""
"8","busby_phage_422","",""
"9","busby_phage_423","",""
"10","busby_phage_464","",""
"11","virome_phage_2366","Gilliamella",""
"12","virome_phage_2380","Gilliamella",""
"13","virome_phage_2914","Serratia",""
"14","virome_phage_902","Gilliamella",""
"15","busby_phage_424","",""
"16","busby_phage_356","",""
"17","busby_phage_374","",""
"18","busby_phage_425","",""
"19","deboutte_phage_398","",""
"20","rosso_phage_180","",""
"21","rosso_phage_9","",""
"22","total_phage_500","","Herelleviridae"
"23","virome_phage_10","Lactobacillus","Herelleviridae"
"24","virome_phage_2238","","Herelleviridae"
"25","virome_phage_2254","","Herelleviridae"
"26","virome_phage_739","Lactobacillus","Herelleviridae"
"27","busby_phage_353","",""
"28","busby_phage_426","",""
"29","total_phage_106","",""
"30","deboutte_phage_519","",""
"31","deboutte_phage_467","",""
"32","busby_phage_212","",""
"33","busby_phage_186","",""
"34","busby_phage_242","",""
"35","busby_phage_257","",""
"36","busby_phage_299","",""
"37","busby_phage_347","",""
"38","busby_phage_468","Lactobacillus",""
"39","busby_phage_469","",""
"40","deboutte_phage_133","",""
"41","deboutte_phage_480","",""
"42","rosso_phage_182","",""
"43","total_phage_188","Lactobacillus",""
"44","total_phage_415","Lactobacillus",""
"45","total_phage_416","Lactobacillus",""
"46","total_phage_692","Lactobacillus",""
"47","total_phage_737","Lactobacillus",""
"48","total_phage_800","Lactobacillus",""
"49","busby_phage_428","",""
"50","total_phage_664","Schmidhempelia",""
"51","deboutte_phage_421","",""
"52","rosso_phage_24","",""
"53","total_phage_242","",""
"54","total_phage_733","",""
"55","total_phage_794","",""
"56","busby_phage_28","",""
"57","busby_phage_285","Bifidobacterium",""
"58","busby_phage_403","",""
"59","deboutte_phage_136","Bifidobacterium",""
"60","deboutte_phage_151","Bifidobacterium",""
"61","deboutte_phage_505","Bifidobacterium",""
"62","rosso_phage_58","Bifidobacterium",""
"63","rosso_phage_60","Bifidobacterium",""
"64","rosso_phage_69","Bifidobacterium",""
"65","virome_phage_110","Bifidobacterium",""
"66","virome_phage_23","Bifidobacterium",""
"67","virome_phage_2328","Bifidobacterium",""
"68","virome_phage_2330","Bifidobacterium",""
"69","busby_phage_429","",""
"70","deboutte_phage_397","Lactobacillus","Rountreeviridae"
"71","deboutte_phage_74","",""
"72","deboutte_phage_98","",""
"73","rosso_phage_197","",""
"74","rosso_phage_41","Lactobacillus","Rountreeviridae"
"75","rosso_phage_42","Lactobacillus","Rountreeviridae"
"76","rosso_phage_43","Lactobacillus","Rountreeviridae"
"77","rosso_phage_44","Lactobacillus","Rountreeviridae"
"78","rosso_phage_45","Lactobacillus","Rountreeviridae"
"79","rosso_phage_47","Lactobacillus","Rountreeviridae"
"80","rosso_phage_48","Lactobacillus","Rountreeviridae"
"81","rosso_phage_50","Lactobacillus","Rountreeviridae"
"82","total_phage_18","Lactobacillus","Rountreeviridae"
"83","total_phage_254","Lactobacillus","Rountreeviridae"
"84","virome_phage_1004","Lactobacillus","Rountreeviridae"
"85","virome_phage_1006","Lactobacillus","Rountreeviridae"
"86","virome_phage_1033","Lactobacillus","Rountreeviridae"
"87","virome_phage_181","Lactobacillus","Rountreeviridae"
"88","virome_phage_183","Lactobacillus","Rountreeviridae"
"89","virome_phage_189","Lactobacillus","Rountreeviridae"
"90","virome_phage_191","Lactobacillus","Rountreeviridae"
"91","virome_phage_2260","Lactobacillus","Rountreeviridae"
"92","virome_phage_2522","Lactobacillus","Rountreeviridae"
"93","virome_phage_993","Lactobacillus","Rountreeviridae"
"94","deboutte_phage_413","",""
"95","deboutte_phage_71","",""
"96","busby_phage_163","",""
"97","busby_phage_89","",""
"98","deboutte_phage_402","",""
"100","deboutte_phage_92","",""
"101","rosso_phage_22","",""
"103","rosso_phage_25","",""
"104","total_phage_1","",""
"105","total_phage_113","",""
"107","total_phage_795","",""
"108","virome_phage_798","",""
"109","rosso_phage_173","",""
"110","rosso_phage_59","",""
"111","rosso_phage_63","Bifidobacterium",""
"112","rosso_phage_71","Bifidobacterium",""
"113","virome_phage_193","Bifidobacterium",""
"117","busby_phage_443","",""
"119","deboutte_phage_137","Bifidobacterium",""
"121","deboutte_phage_469","Bifidobacterium",""
"123","rosso_phage_193","",""
"124","rosso_phage_5","Bifidobacterium",""
"127","rosso_phage_6","Bifidobacterium",""
"129","rosso_phage_61","Bifidobacterium",""
"130","rosso_phage_62","",""
"132","rosso_phage_64","Bifidobacterium",""
"133","rosso_phage_65","Bifidobacterium",""
"134","rosso_phage_66","",""
"135","rosso_phage_67","",""
"136","rosso_phage_68","Bifidobacterium",""
"138","rosso_phage_70","",""
"139","virome_phage_104","Bifidobacterium",""
"141","virome_phage_196","Bifidobacterium",""
"145","virome_phage_862","Bifidobacterium",""
"146","virome_phage_900","Bifidobacterium",""
"147","virome_phage_97","Bifidobacterium",""
"148","busby_phage_230","",""
"152","deboutte_phage_434","",""
"155","rosso_phage_75","",""
"156","total_phage_233","Gilliamella",""
"157","total_phage_362","",""
"158","virome_phage_127","Gilliamella",""
"159","virome_phage_2288","Gilliamella",""
"162","virome_phage_858","Gilliamella",""
"163","busby_phage_150","",""
"164","busby_phage_243","",""
"165","busby_phage_246","",""
"166","busby_phage_249","",""
"167","busby_phage_250","",""
"168","busby_phage_418","",""
"169","busby_phage_461","Lactobacillus",""
"171","busby_phage_84","",""
"172","deboutte_phage_532","",""
"174","total_phage_734","Lactobacillus",""
"175","total_phage_735","Lactobacillus",""
"176","virome_phage_2298","Lactobacillus",""
"177","virome_phage_778","Lactobacillus",""
"178","virome_phage_828","Lactobacillus",""
"179","virome_phage_839","Lactobacillus",""
"180","virome_phage_850","Lactobacillus",""
"181","busby_phage_151","",""
"182","busby_phage_152","",""
"184","deboutte_phage_162","",""
"185","deboutte_phage_429","Lactobacillus",""
"186","rosso_phage_14","",""
"187","rosso_phage_21","",""
"188","total_phage_114","Lactobacillus",""
"189","total_phage_117","Lactobacillus",""
"190","total_phage_245","Lactobacillus",""
"191","total_phage_248","Lactobacillus",""
"192","total_phage_293","Lactobacillus",""
"193","total_phage_360","Lactobacillus",""
"194","total_phage_371","Lactobacillus",""
"195","total_phage_4","Lactobacillus",""
"196","total_phage_524","Lactobacillus",""
"197","total_phage_738","Lactobacillus",""
"198","total_phage_797","Lactobacillus",""
"199","virome_phage_882","Lactobacillus",""
"206","rosso_phage_74","",""
"210","busby_phage_148","",""
"216","busby_phage_149","",""
"218","busby_phage_218","",""
"219","busby_phage_219","",""
"220","busby_phage_220","",""
"221","busby_phage_241","",""
"224","busby_phage_244","",""
"225","busby_phage_245","",""
"226","busby_phage_445","",""
"229","deboutte_phage_150","Lactobacillus",""
"232","deboutte_phage_430","Lactobacillus",""
"233","deboutte_phage_455","",""
"235","deboutte_phage_489","",""
"236","deboutte_phage_491","",""
"237","deboutte_phage_523","",""
"238","deboutte_phage_525","",""
"241","rosso_phage_15","",""
"242","rosso_phage_36","Lactobacillus",""
"243","total_phage_11","Lactobacillus",""
"250","total_phage_305","Lactobacillus",""
"252","total_phage_368","Lactobacillus",""
"256","total_phage_479","Lactobacillus",""
"258","total_phage_525","Lactobacillus",""
"259","total_phage_604","Lactobacillus",""
"260","total_phage_653","Lactobacillus",""
"261","total_phage_658","Lactobacillus",""
"265","total_phage_739","Lactobacillus",""
"266","total_phage_796","Lactobacillus",""
"268","total_phage_798","Lactobacillus",""
"270","virome_phage_2327","Lactobacillus",""
"271","virome_phage_2360","Lactobacillus",""
"272","virome_phage_800","Lactobacillus",""
"273","virome_phage_807","Lactobacillus",""
"275","virome_phage_88","Lactobacillus",""
"277","virome_phage_935","Lactobacillus",""
"286","deboutte_phage_153","",""
"289","virome_phage_2324","",""
"290","busby_phage_155","",""
"292","busby_phage_251","",""
"293","busby_phage_296","",""
"294","busby_phage_297","",""
"295","busby_phage_323","",""
"296","busby_phage_476","Gilliamella",""
"297","deboutte_phage_139","",""
"298","deboutte_phage_390","Gilliamella",""
"301","total_phage_294","Gilliamella",""
"302","total_phage_417","Gilliamella",""
"303","total_phage_793","Gilliamella",""
"305","virome_phage_792","Gilliamella",""
"307","busby_phage_154","",""
"308","busby_phage_156","",""
"309","busby_phage_158","",""
"310","busby_phage_181","",""
"311","busby_phage_182","Gilliamella",""
"312","busby_phage_183","",""
"313","busby_phage_210","",""
"315","busby_phage_252","",""
"316","busby_phage_303","",""
"317","busby_phage_305","",""
"318","busby_phage_409","",""
"319","busby_phage_43","",""
"320","busby_phage_470","Gilliamella",""
"321","busby_phage_473","",""
"323","deboutte_phage_138","",""
"324","deboutte_phage_143","",""
"325","deboutte_phage_144","",""
"326","deboutte_phage_181","",""
