Genome	17_A_MEL_host_removed_R1.fastq.gz Trimmed Mean	17_A_MEL_host_removed_R1.fastq.gz Covered Fraction
virome_phage_759	183.18541	0.99975914
total_phage_188	12.667049	0.835153
virome_phage_825	13.565575	0.9998646
virome_phage_55	0	0
virome_phage_202	0	0
virome_phage_2385	0	0
virome_phage_153	351.2001	1
virome_phage_2372	17.517796	0.9441905
total_phage_809	0	0
total_phage_934	0	0
total_phage_782	0	0
virome_phage_272	0	0
virome_phage_2297	44.21892	0.9367072
total_phage_638	0	0
virome_phage_123	129.46617	0.9060056
virome_phage_2260	0	0
total_phage_454	0	0
virome_phage_776	100.29353	0.99995655
total_phage_363	26.152277	0.9811016
virome_phage_781	13.6131	0.99977946
virome_phage_855	15.027361	1
virome_phage_25	0	0
total_phage_443	36.261387	0.9639029
virome_phage_2315	0	0
virome_phage_2280	0	0
virome_phage_32	0	0
total_phage_118	37.99144	0.99210817
virome_phage_842	25.64256	1
virome_phage_796	7.4079123	0.9986466
virome_phage_761	23.161097	1
total_phage_249	11.339574	0.92472297
virome_phage_42	0	0
virome_phage_440	0	0
virome_phage_832	10.284138	0.99953043
virome_phage_2530	0	0
total_phage_304	0	0
total_phage_239	111.687965	0.99935555
total_phage_795	27.13351	0.9596135
virome_phage_144	21.290497	0.8526634
total_phage_600	0	0
total_phage_305	62.16266	0.9897299
virome_phage_833	9.984174	1
virome_phage_43	0	0
virome_phage_2599	4.61513	0.8403269
virome_phage_145	0	0
total_phage_794	16.657917	0.9709071
virome_phage_2259	0	0
total_phage_713	0	0
virome_phage_2281	0	0
virome_phage_2314	0	0
total_phage_520	0	0
total_phage_248	22.849718	0.9920474
virome_phage_760	28.381338	1
virome_phage_797	70.30588	1
virome_phage_843	21.512308	1
virome_phage_33	0	0
virome_phage_2303	52.75035	0.9887199
virome_phage_2296	0	0
total_phage_639	0	0
total_phage_666	0	0
virome_phage_24	0	0
virome_phage_854	23.494226	1
virome_phage_780	12.845981	1
virome_phage_936	136.44258	1
total_phage_362	174.27197	0.99409133
virome_phage_54	0	0
total_phage_121	0	0
virome_phage_824	9.52578	1
total_phage_189	76.525116	0.9998669
virome_phage_758	41.54036	1
total_phage_783	25.169628	0.95227623
total_phage_935	8.590123	0.86757034
total_phage_518	0	0
total_phage_808	11.92769	0.87830293
virome_phage_7	0	0
virome_phage_152	44.161495	0.9978047
total_phage_616	0	0
total_phage_360	28.908575	0.96629184
virome_phage_856	11.213267	0.9996981
virome_phage_79	94.502304	0.9945434
virome_phage_782	25.51359	1
virome_phage_26	0	0
