"","Bee_type","Host","N","abund","sd","se","ci"
"1","Bumble bee Total","Lactobacillus",9,12.498130297836,11.8679694173248,3.95598980577494,9.12252885094254
"2","Bumble bee Total","Gilliamella",9,0,0,0,0
"3","Bumble bee Total","Bifidobacterium",9,1.13267672342912,2.40350568126285,0.801168560420949,1.84749801332628
"4","Bumble bee Total","Acinetobacter",9,0,0,0,0
"5","Bumble bee Total","Schmidhempelia",9,2.89041466318864,2.46919689494534,0.823065631648447,1.89799275012575
"6","Bumble bee Total","Bombilactobacillus",9,2.28649012205512,5.7935427497895,1.9311809165965,4.4533111794989
"7","Bumble bee Total","Other",9,0,0,0,0
"8","Bumble bee Total","Unassigned",9,81.1922881934911,13.4636702803972,4.48789009346573,10.3490931138738
"9","Bumble bee Virome","Lactobacillus",3,4.03222862414039,6.29002590026369,3.63154814672696,15.6252905467314
"10","Bumble bee Virome","Gilliamella",3,0,0,0,0
"11","Bumble bee Virome","Bifidobacterium",3,0,0,0,0
"12","Bumble bee Virome","Acinetobacter",3,0,0,0,0
"13","Bumble bee Virome","Schmidhempelia",3,0,0,0,0
"14","Bumble bee Virome","Bombilactobacillus",3,0,0,0,0
"15","Bumble bee Virome","Other",3,0,0,0,0
"16","Bumble bee Virome","Unassigned",3,95.9677713758596,6.29002590026368,3.63154814672696,15.6252905467313
"17","Honey bee Total","Lactobacillus",9,29.5620910992902,19.5533061959027,6.51776873196756,15.0300016482216
"18","Honey bee Total","Gilliamella",9,28.4509320347367,21.0515163104471,7.01717210348236,16.1816278880696
"19","Honey bee Total","Bifidobacterium",9,6.27396159999748,5.82121880523252,1.94040626841084,4.47458487893148
"20","Honey bee Total","Acinetobacter",9,1.68686321264843,4.35375185046142,1.45125061682047,3.34658992360561
"21","Honey bee Total","Schmidhempelia",9,0,0,0,0
"22","Honey bee Total","Bombilactobacillus",9,0,0,0,0
"23","Honey bee Total","Other",9,0,0,0,0
"24","Honey bee Total","Unassigned",9,34.0261520533272,14.7067924182843,4.90226413942809,11.3046413773843
"25","Honey bee Virome","Lactobacillus",3,21.0293517101175,4.35556933931385,2.51468913052693,10.819834051933
"26","Honey bee Virome","Gilliamella",3,6.44358918781391,2.42171503656905,1.39817782826371,6.01587364945402
"27","Honey bee Virome","Bifidobacterium",3,24.2557193750338,7.43879079535266,4.29478786814217,18.4789807445568
"28","Honey bee Virome","Acinetobacter",3,4.62199699995831,7.43708825931381,4.29380490850183,18.474751410577
"29","Honey bee Virome","Schmidhempelia",3,0,0,0,0
"30","Honey bee Virome","Bombilactobacillus",3,0.107735949644616,0.0498499340873106,0.0287808728643939,0.123834101194556
"31","Honey bee Virome","Other",3,4.46141383051309,5.77231117061948,3.33264540820344,14.3392158628935
"32","Honey bee Virome","Unassigned",3,39.0801929469188,11.7955273421304,6.81015088621256,29.3017143005682
