Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
annotate_busby_phage_0,,Singleton,,,,,,,
annotate_busby_phage_1,preVC_0,Clustered,VC_0_0,2,0.188,0.92921057,1.4142135623730951,0.1747,1.0
annotate_busby_phage_10,,Singleton,,,,,,,
annotate_busby_phage_100,,Singleton,,,,,,,
annotate_busby_phage_101,preVC_2,Clustered,VC_2_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_102,,Singleton,,,,,,,
annotate_busby_phage_103,,Singleton,,,,,,,
annotate_busby_phage_104,,Singleton,,,,,,,
annotate_busby_phage_105,,Singleton,,,,,,,
annotate_busby_phage_106,,Singleton,,,,,,,
annotate_busby_phage_107,,Singleton,,,,,,,
annotate_busby_phage_108,,Singleton,,,,,,,
annotate_busby_phage_109,preVC_3,Clustered,VC_3_0,2,0.1713,0.92499224,0.0,0.1584,1.0
annotate_busby_phage_11,,Singleton,,,,,,,
annotate_busby_phage_110,,Singleton,,,,,,,
annotate_busby_phage_111,,Singleton,,,,,,,
annotate_busby_phage_112,preVC_5,Clustered,VC_5_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_113,,Singleton,,,,,,,
annotate_busby_phage_114,,Singleton,,,,,,,
annotate_busby_phage_115,,Outlier,,,,,,,
annotate_busby_phage_116,preVC_8,Clustered,VC_8_0,3,0.7264,0.8335392,1.6094757082487299,0.6055,1.0
annotate_busby_phage_117,,Singleton,,,,,,,
annotate_busby_phage_118,,Outlier,,,,,,,
annotate_busby_phage_119,,Singleton,,,,,,,
annotate_busby_phage_12,,Singleton,,,,,,,
annotate_busby_phage_120,,Singleton,,,,,,,
annotate_busby_phage_121,,Singleton,,,,,,,
annotate_busby_phage_122,,Singleton,,,,,,,
annotate_busby_phage_124,,Outlier,,,,,,,
annotate_busby_phage_125,preVC_11,Clustered,VC_11_0,2,0.0619,0.90478487,1.7320508075688772,0.056,1.0
annotate_busby_phage_127,,Singleton,,,,,,,
annotate_busby_phage_128,,Outlier,,,,,,,
annotate_busby_phage_129,,Singleton,,,,,,,
annotate_busby_phage_13,,Outlier,,,,,,,
annotate_busby_phage_130,,Singleton,,,,,,,
annotate_busby_phage_131,,Singleton,,,,,,,
annotate_busby_phage_132,preVC_20,Clustered,VC_20_0,2,0.5938,0.72985431,0.0,0.4334,1.0
annotate_busby_phage_133,,Outlier,,,,,,,
annotate_busby_phage_134,,Outlier,,,,,,,
annotate_busby_phage_135,,Singleton,,,,,,,
annotate_busby_phage_136,,Singleton,,,,,,,
annotate_busby_phage_137,,Singleton,,,,,,,
annotate_busby_phage_138,,Outlier,,,,,,,
annotate_busby_phage_139,,Singleton,,,,,,,
annotate_busby_phage_14,,Singleton,,,,,,,
annotate_busby_phage_140,,Singleton,,,,,,,
annotate_busby_phage_141,,Outlier,,,,,,,
annotate_busby_phage_142,,Singleton,,,,,,,
annotate_busby_phage_143,,Outlier,,,,,,,
annotate_busby_phage_144,,Outlier,,,,,,,
annotate_busby_phage_145,,Outlier,,,,,,,
annotate_busby_phage_146,,Outlier,,,,,,,
annotate_busby_phage_147,,Singleton,,,,,,,
annotate_busby_phage_148,,Overlap (VC_11/VC_15),,,,,,,
annotate_busby_phage_149,,Outlier,,,,,,,
annotate_busby_phage_15,,Outlier,,,,,,,
annotate_busby_phage_150,,Outlier,,,,,,,
annotate_busby_phage_151,,Outlier,,,,,,,
annotate_busby_phage_152,,Outlier,,,,,,,
annotate_busby_phage_153,,Outlier,,,,,,,
annotate_busby_phage_154,,Outlier,,,,,,,
annotate_busby_phage_155,,Overlap (VC_38/VC_46),,,,,,,
annotate_busby_phage_156,preVC_44,Clustered,VC_44_0,2,0.0451,0.8335392,3.872983346207417,0.0376,1.0
annotate_busby_phage_157,,Overlap (VC_43/VC_48),,,,,,,
annotate_busby_phage_158,,Outlier,,,,,,,
annotate_busby_phage_159,,Outlier,,,,,,,
annotate_busby_phage_16,,Singleton,,,,,,,
annotate_busby_phage_160,,Outlier,,,,,,,
