Source,Target,Weight,Study,host,Realm,Kingdom,Phylum,Class,Order,Family,VC,host_study
busby_phage_396,busby_phage_1,9.82953038882448,busby,NA,NA,NA,NA,NA,NA,NA,VC_0_0,NA_busby
deboutte_phage_125,busby_phage_1,1.18229911815265,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
deboutte_phage_154,busby_phage_1,6.72696974132006,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
deboutte_phage_86,busby_phage_1,3.2384021164265,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_1_0,NA_deboutte
rosso_phage_29,busby_phage_1,5.01257795433991,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_1_0,NA_bonilla-rosso
total_phage_2,busby_phage_1,5.85120189215206,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_1_0,NA_sbardellati
virome_phage_39,busby_phage_1,3.05957073145702,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_1_0,NA_sbardellati
busby_phage_422,busby_phage_101,1.76586129446872,busby,NA,NA,NA,NA,NA,NA,NA,VC_2_0,NA_busby
busby_phage_423,busby_phage_109,16.0042898808839,busby,NA,NA,NA,NA,NA,NA,NA,VC_3_0,NA_busby
busby_phage_464,busby_phage_109,5.01257795433991,busby,NA,NA,NA,NA,NA,NA,NA,VC_4_0,NA_busby
virome_phage_2366,busby_phage_109,10.8710853858638,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_4_0,Gilliamella_sbardellati
virome_phage_2380,busby_phage_109,8.06057263004526,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_4_0,Gilliamella_sbardellati
virome_phage_2914,busby_phage_109,4.39540087214972,sbardellati,Serratia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_4_0,Serratia_sbardellati
virome_phage_902,busby_phage_109,10.3810140993211,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_4_0,Gilliamella_sbardellati
busby_phage_424,busby_phage_112,24.2224181620028,busby,NA,NA,NA,NA,NA,NA,NA,VC_5_0,NA_busby
busby_phage_356,busby_phage_115,4.7581770542039,busby,NA,NA,NA,NA,NA,NA,NA,VC_6_0,NA_busby
busby_phage_374,busby_phage_115,7.72867324303067,busby,NA,NA,NA,NA,NA,NA,NA,VC_6_0,NA_busby
busby_phage_425,busby_phage_115,6.65327194842806,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
deboutte_phage_398,busby_phage_115,8.38158438526843,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_6_0,NA_deboutte
rosso_phage_180,busby_phage_115,2.488874876884,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_9,busby_phage_115,5.60506091526843,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_6_0,NA_bonilla-rosso
total_phage_500,busby_phage_115,2.15960665930086,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Herelleviridae,VC_7_2,NA_sbardellati
virome_phage_10,busby_phage_115,1.43807699920791,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Herelleviridae,VC_7_1,Lactobacillus_sbardellati
virome_phage_2238,busby_phage_115,2.40324412783182,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Herelleviridae,VC_7_2,NA_sbardellati
virome_phage_2254,busby_phage_115,1.13265082779528,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Herelleviridae,VC_7_2,NA_sbardellati
virome_phage_739,busby_phage_115,1.21168962739702,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Herelleviridae,VC_7_3,Lactobacillus_sbardellati
busby_phage_353,busby_phage_116,3.84561219417618,busby,NA,NA,NA,NA,NA,NA,NA,VC_8_0,NA_busby
busby_phage_426,busby_phage_116,8.05014998467427,busby,NA,NA,NA,NA,NA,NA,NA,VC_8_0,NA_busby
