contig_id,pc_id
annotate_busby_phage_0,PC_00368
annotate_busby_phage_0,PC_01057
annotate_busby_phage_0,PC_02684
annotate_busby_phage_0,PC_00217
annotate_busby_phage_0,
annotate_busby_phage_1,PC_00838
annotate_busby_phage_1,PC_00393
annotate_busby_phage_1,PC_00345
annotate_busby_phage_1,PC_00839
annotate_busby_phage_1,PC_04644
annotate_busby_phage_1,PC_00312
annotate_busby_phage_1,PC_01351
annotate_busby_phage_1,PC_00394
annotate_busby_phage_10,
annotate_busby_phage_100,
annotate_busby_phage_101,PC_00027
annotate_busby_phage_101,PC_00000
annotate_busby_phage_102,PC_04645
annotate_busby_phage_103,PC_01535
annotate_busby_phage_103,
annotate_busby_phage_104,PC_01536
annotate_busby_phage_104,PC_01784
annotate_busby_phage_105,PC_01352
annotate_busby_phage_106,PC_02165
annotate_busby_phage_106,PC_01785
annotate_busby_phage_107,PC_00393
annotate_busby_phage_107,
annotate_busby_phage_107,PC_04646
annotate_busby_phage_107,PC_00568
annotate_busby_phage_108,
annotate_busby_phage_109,PC_00949
annotate_busby_phage_109,PC_01058
annotate_busby_phage_109,PC_00840
annotate_busby_phage_109,PC_00759
annotate_busby_phage_109,PC_01537
annotate_busby_phage_109,PC_01059
annotate_busby_phage_109,PC_02686
annotate_busby_phage_109,PC_00841
annotate_busby_phage_11,
annotate_busby_phage_110,
annotate_busby_phage_111,PC_02687
annotate_busby_phage_111,PC_03462
annotate_busby_phage_112,PC_04647
annotate_busby_phage_112,PC_04648
annotate_busby_phage_112,PC_04649
annotate_busby_phage_112,PC_04650
annotate_busby_phage_112,PC_04651
annotate_busby_phage_112,PC_04652
annotate_busby_phage_112,PC_04653
annotate_busby_phage_112,PC_04654
annotate_busby_phage_113,PC_04655
annotate_busby_phage_113,PC_04656
annotate_busby_phage_113,PC_04657
annotate_busby_phage_113,
annotate_busby_phage_114,PC_02166
annotate_busby_phage_114,PC_04658
annotate_busby_phage_114,PC_04659
annotate_busby_phage_114,PC_04660
annotate_busby_phage_114,
annotate_busby_phage_115,PC_00063
annotate_busby_phage_115,PC_00476
annotate_busby_phage_115,PC_00169
annotate_busby_phage_115,PC_00477
annotate_busby_phage_115,PC_00200
annotate_busby_phage_116,PC_03465
annotate_busby_phage_116,PC_02690
annotate_busby_phage_116,PC_01786
annotate_busby_phage_116,PC_03464
annotate_busby_phage_116,
annotate_busby_phage_116,PC_04665
annotate_busby_phage_117,PC_00028
annotate_busby_phage_118,PC_00040
annotate_busby_phage_118,PC_04666
annotate_busby_phage_118,PC_03466
annotate_busby_phage_118,PC_02691
annotate_busby_phage_119,PC_03467
annotate_busby_phage_119,PC_02692
annotate_busby_phage_119,PC_00696
annotate_busby_phage_119,
annotate_busby_phage_119,PC_00285
annotate_busby_phage_12,PC_01354
annotate_busby_phage_12,
annotate_busby_phage_120,PC_01535
annotate_busby_phage_120,
annotate_busby_phage_121,PC_01535
annotate_busby_phage_122,PC_00041
annotate_busby_phage_122,
annotate_busby_phage_124,PC_03469
annotate_busby_phage_124,PC_00697
annotate_busby_phage_124,PC_00090
annotate_busby_phage_124,PC_00151
annotate_busby_phage_125,PC_04670
annotate_busby_phage_125,PC_01355
annotate_busby_phage_125,PC_01191
annotate_busby_phage_125,PC_01060
annotate_busby_phage_125,
annotate_busby_phage_125,PC_00950
annotate_busby_phage_127,PC_03470
annotate_busby_phage_128,PC_01061
annotate_busby_phage_128,PC_00122
annotate_busby_phage_128,PC_01062
annotate_busby_phage_128,PC_01192
annotate_busby_phage_128,
annotate_busby_phage_128,PC_00110
annotate_busby_phage_129,PC_04671
annotate_busby_phage_129,PC_04674
annotate_busby_phage_13,
annotate_busby_phage_13,PC_00218
annotate_busby_phage_13,PC_00034
annotate_busby_phage_13,PC_00084
annotate_busby_phage_13,PC_00760
annotate_busby_phage_13,PC_00440
annotate_busby_phage_13,PC_00064
annotate_busby_phage_13,PC_00441
annotate_busby_phage_13,PC_00201
annotate_busby_phage_13,PC_01356
annotate_busby_phage_13,PC_00313
annotate_busby_phage_130,PC_01535
annotate_busby_phage_131,PC_01789
annotate_busby_phage_131,
annotate_busby_phage_132,PC_00138
annotate_busby_phage_132,PC_00346
annotate_busby_phage_132,PC_01538
annotate_busby_phage_132,PC_00111
annotate_busby_phage_132,PC_00152
annotate_busby_phage_133,PC_00071
annotate_busby_phage_133,PC_00842
annotate_busby_phage_133,PC_01790
annotate_busby_phage_133,PC_00569
annotate_busby_phage_133,PC_01063
annotate_busby_phage_133,PC_02169
annotate_busby_phage_134,PC_00633
annotate_busby_phage_134,PC_00634
annotate_busby_phage_134,PC_00635
annotate_busby_phage_134,PC_00636
annotate_busby_phage_134,PC_00637
annotate_busby_phage_134,PC_01357
annotate_busby_phage_135,
annotate_busby_phage_136,PC_01358
annotate_busby_phage_136,
annotate_busby_phage_137,PC_04675
annotate_busby_phage_137,
annotate_busby_phage_138,PC_00065
annotate_busby_phage_138,PC_00112
annotate_busby_phage_138,PC_00219
annotate_busby_phage_138,PC_00045
annotate_busby_phage_138,PC_00022
annotate_busby_phage_139,PC_01193
annotate_busby_phage_139,PC_00393
annotate_busby_phage_139,
annotate_busby_phage_139,PC_00839
annotate_busby_phage_139,PC_02695
annotate_busby_phage_14,PC_04676
annotate_busby_phage_14,PC_02688
annotate_busby_phage_140,PC_04678
annotate_busby_phage_141,PC_00171
annotate_busby_phage_141,PC_00123
annotate_busby_phage_142,PC_04673
annotate_busby_phage_142,PC_04679
annotate_busby_phage_143,PC_00478
annotate_busby_phage_143,PC_02696
annotate_busby_phage_143,PC_00698
annotate_busby_phage_143,PC_01064
annotate_busby_phage_143,PC_01065
annotate_busby_phage_143,PC_00273
annotate_busby_phage_143,PC_01791
annotate_busby_phage_143,PC_00442
annotate_busby_phage_143,PC_00252
