pc_id,size,annotated,keys
PC_00000,80,80.0,hypothetical_protein (80)
PC_00001,72,72.0,endolysin (70); hypothetical_protein (2)
PC_00002,70,70.0,tail_length_tape_measure_protein (69); hypothetical_protein (1)
PC_00003,70,70.0,single_strand_DNA_binding_protein (66); hypothetical_protein (4)
PC_00004,67,67.0,endolysin (66); hypothetical_protein (1)
PC_00005,65,65.0,major_head_protein (61); hypothetical_protein (4)
PC_00006,64,64.0,hypothetical_protein (64)
PC_00007,63,63.0,hypothetical_protein (63)
PC_00008,61,61.0,head_scaffolding_protein (60); hypothetical_protein (1)
PC_00009,61,61.0,DNA_polymerase (49); hypothetical_protein (12)
PC_00010,58,58.0,single_strand_DNA_binding_protein (57); hypothetical_protein (1)
PC_00011,58,58.0,DNA_helicase (49); hypothetical_protein (9)
PC_00012,57,57.0,transcriptional_activator (57)
PC_00013,57,57.0,baseplate_protein (41); tail_protein (12); hypothetical_protein (4)
PC_00014,55,55.0,hypothetical_protein (9); portal_protein (46)
PC_00015,55,55.0,hypothetical_protein (7); minor_head_protein (42); head_maturation_protease (6)
PC_00016,55,55.0,HNH_endonuclease (54); hypothetical_protein (1)
PC_00017,54,54.0,hypothetical_protein (54)
PC_00018,54,54.0,hypothetical_protein (54)
PC_00019,53,53.0,tail_protein (14); tail_fiber_protein (20); tail_collar_fiber_protein (16); hypothetical_protein (3); _Ig-domain_containing (1)
PC_00020,52,52.0,HNH_endonuclease (49); endonuclease_VII (1); hypothetical_protein (2)
PC_00021,51,51.0,hypothetical_protein (51)
PC_00022,50,50.0,tail_protein (50)
PC_00023,50,50.0,tail_length_tape_measure_protein (49); hypothetical_protein (1)
PC_00024,50,50.0,holin (48); hypothetical_protein (2)
PC_00025,50,50.0,tail_fiber_assembly (41); hypothetical_protein (6); tail_fiber_assembly_protein (3)
PC_00026,50,50.0,hypothetical_protein (7); tail_protein (42); tail_length_tape_measure_protein (1)
PC_00027,49,49.0,hypothetical_protein (49)
PC_00028,49,49.0,tail_protein (45); hypothetical_protein (4)
PC_00029,48,48.0,terminase_large_subunit (48)
PC_00030,47,47.0,DNA_methyltransferase (36); hypothetical_protein (9); methyltransferase (2)
PC_00031,47,47.0,Rz-like_spanin (46); hypothetical_protein (1)
PC_00032,47,47.0,tail_sheath (45); hypothetical_protein (2)
PC_00033,47,47.0,terminase_large_subunit (47)
PC_00034,46,46.0,transcriptional_regulator (46)
PC_00035,46,46.0,terminase_small_subunit (42); hypothetical_protein (4)
PC_00036,46,46.0,DNA_methyltransferase (45); hypothetical_protein (1)
PC_00037,46,46.0,hypothetical_protein (46)
PC_00038,45,45.0,endolysin (44); peptidase (1)
PC_00039,45,45.0,baseplate_protein (36); hypothetical_protein (9)
PC_00040,44,44.0,integrase (41); hypothetical_protein (3)
PC_00041,44,44.0,tail_length_tape_measure_protein (35); hypothetical_protein (9)
PC_00042,44,44.0,exonuclease (43); hypothetical_protein (1)
PC_00043,44,44.0,portal_protein (41); hypothetical_protein (3)
PC_00044,44,44.0,transcriptional_regulator (35); hypothetical_protein (9)
PC_00045,43,43.0,DNA_polymerase (43)
PC_00046,43,43.0,replication_initiation_protein (38); hypothetical_protein (4); replication_initiation_O-like_protein (1)
PC_00047,43,43.0,terminase_small_subunit (42); DNA_binding_protein (1)
PC_00048,43,43.0,hypothetical_protein (4); tail_completion_or_Neck1_protein (39)
PC_00049,43,43.0,tail_protein (43)
PC_00050,42,42.0,integrase (25); hypothetical_protein (17)
PC_00051,42,42.0,tail_protein (42)
PC_00052,42,42.0,head-tail_adaptor (41); hypothetical_protein (1)
PC_00053,42,42.0,hypothetical_protein (2); head-tail_adaptor (40)
PC_00054,42,42.0,DNA_polymerase (42)
PC_00055,41,41.0,minor_tail_protein (41)
PC_00056,41,41.0,RusA-like_Holliday_junction_resolvase (40); hypothetical_protein (1)
PC_00057,41,41.0,thymidylate_kinase (40); Deoxyguanosine_kinase (1)
PC_00058,41,41.0,hypothetical_protein (41)
PC_00059,41,41.0,hypothetical_protein (41)
PC_00060,41,41.0,portal_protein (39); hypothetical_protein (2)
PC_00061,41,41.0,head_maturation_protease (40); hypothetical_protein (1)
PC_00062,41,41.0,major_head_protein (41)
PC_00063,40,40.0,DNA_helicase (35); hypothetical_protein (5)
PC_00064,40,40.0,hypothetical_protein (4); DnaC-like_helicase_loader (36)
PC_00065,40,40.0,hypothetical_protein (11); endolysin (29)
PC_00066,40,40.0,endolysin (40)
PC_00067,40,40.0,hypothetical_protein (40)
PC_00068,40,40.0,terminase_large_subunit (39); hypothetical_protein (1)
PC_00069,40,40.0,endolysin (39); hypothetical_protein (1)
PC_00070,40,40.0,head_morphogenesis (37); head_protein (3)
PC_00071,39,39.0,hypothetical_protein (3); ParA-like_partition_protein (36)
PC_00072,39,39.0,transcriptional_repressor (38); hypothetical_protein (1)
PC_00073,39,39.0,endolysin (37); Erf-like_ssDNA_annealing_protein (1); hypothetical_protein (1)
PC_00074,39,39.0,minor_tail_protein (24); hypothetical_protein (15)
PC_00075,39,39.0,tail_length_tape_measure_protein (27); hypothetical_protein (12)
PC_00076,39,39.0,DNA_methyltransferase (37); methyltransferase (1); hypothetical_protein (1)
PC_00077,39,39.0,hypothetical_protein (5); DnaB-like_replicative_helicase (33); DNA_primase/helicase (1)
PC_00078,39,39.0,anti-repressor_Ant (36); anti-repressor (3)
PC_00079,39,39.0,hypothetical_protein (37); endolysin (2)
PC_00080,39,39.0,tail_protein_XkdN-like_protein (38); hypothetical_protein (1)
PC_00081,39,39.0,tail_protein (37); hypothetical_protein (2)
PC_00082,39,39.0,head_morphogenesis (39)
PC_00083,39,39.0,terminase_large_subunit (38); hypothetical_protein (1)
PC_00084,38,38.0,metallo-protease (29); hypothetical_protein (9)
PC_00085,38,38.0,hypothetical_protein (38)
PC_00086,38,38.0,hypothetical_protein (38)
PC_00087,38,38.0,hypothetical_protein (38)
PC_00088,38,38.0,baseplate_protein (36); hypothetical_protein (2)
PC_00089,38,38.0,hypothetical_protein (38)
PC_00090,37,37.0,hypothetical_protein (37)
PC_00091,37,37.0,hypothetical_protein (37)
PC_00092,37,37.0,hypothetical_protein (37)
PC_00093,37,37.0,endolysin (36); hypothetical_protein (1)
PC_00094,37,37.0,baseplate_protein (16); hypothetical_protein (21)
PC_00095,37,37.0,hypothetical_protein (36); endolysin (1)
PC_00096,37,37.0,exonuclease (37)
PC_00097,37,37.0,hypothetical_protein (1); major_head_protein (36)
PC_00098,36,36.0,hypothetical_protein (36)
PC_00099,36,36.0,tail_protein (36)
PC_00100,35,35.0,Holliday_junction_resolvase (33); hypothetical_protein (2)
PC_00101,35,35.0,hypothetical_protein (35)
PC_00102,35,35.0,DNA_helicase (31); hypothetical_protein (4)
PC_00103,35,35.0,RNA-binding_protein (35)
PC_00104,35,35.0,DNA_helicase (35)
PC_00105,35,35.0,head_morphogenesis (35)
PC_00106,35,35.0,hypothetical_protein (35)
PC_00107,35,35.0,virion_structural_protein (34); hypothetical_protein (1)
PC_00108,35,35.0,virion_structural_protein (35)
